,original,translation,target,label
214,"in order to be successful, you have to be willing to fail, and you have to be able to fail publicly and be okay with that","Để thành công thì bạn phải sẵn sàng chấp nhận thất bại, và bạn cũng cần phải có khả năng đối mặt với thất bại trước mọi người mà vẫn cảm thấy ổn với điều đó.",Ethnic/Racial Minorities,Non HS
215,He knows their past and their future.,Anh ấy biết rõ quá khứ và tương lai của họ.,Religious Groups,Non HS
216," regardless of your race or gender, your intentions affect your impact on society","Dù bạn là ai, thuộc chủng tộc hay giới tính nào, thì ý định của bạn vẫn ảnh hưởng đến tác động của bạn đối với xã hội.",Ethnic/Racial Minorities,Non HS
217,I can be a bitch and an asshole but I will love you and care about you more than any other person you have met.,"Mình có thể khó tính và đôi khi hơi khó chịu, nhưng mình sẽ yêu thương và quan tâm đến bạn nhiều hơn bất kỳ ai mà bạn từng gặp.",Women,Non HS
218,"Women are human beings, like men are. No one should have to be forced to stay inside because of ""tradition"", if that's the case then we need to get rid of the tradition.","Phụ nữ cũng là con người như đàn ông. Không ai nên bị ép buộc phải ở nhà chỉ vì ""truyền thống"". Nếu truyền thống là như vậy thì chúng ta cần thay đổi nó.",Women,Non HS
219,"i can't believe i have to defend myself for being a part of a race that i have no control over, i was born this way","Thật khó tin là mình phải giải thích chỉ vì mình thuộc về một dân tộc mà mình không thể chọn lựa, mình sinh ra đã như thế rồi.",Ethnic/Racial Minorities,Non HS
220, i guess my favorite part of being middle eastern is looking like a model,Mình nghĩ điều mình thích nhất khi là người Trung Đông là trông mình giống như người mẫu vậy.,Nationalities/Regions,Non HS
221,"The overwhelming majority of gay people are not committing crimes, nor are they a danger to society. The only problem with homosexuality is that it's not accepted as it should.",Phần lớn người đồng tính không phạm tội và cũng không gây nguy hiểm cho xã hội. Vấn đề duy nhất với đồng tính là nó chưa được chấp nhận đúng mức thôi.,LGBTQ+,Non HS
222, military people think about one thing from the time they are young - defending the motherland,Những người trong quân đội từ khi còn trẻ đã luôn nghĩ về một điều - bảo vệ Tổ quốc.,Nationalities/Regions,Non HS
223, a lot of people who are not white often feel left behind by society,Nhiều người không phải da trắng thường cảm thấy như bị xã hội bỏ lại phía sau.,Ethnic/Racial Minorities,Non HS
224,"We should take a stand against homophobia in society, not against gay people.","Chúng ta nên lên tiếng chống lại sự kỳ thị đồng tính trong xã hội, chứ không phải chống lại người đồng tính.",LGBTQ+,Non HS
225,"Another songwriter encouraged many more people to come : `` If you 're going to San Francisco , be sure to wear a flower in your hair . ''","Một nhạc sĩ khác đã khuyến khích nhiều người hơn đến San Francisco: ""Nếu bạn đến San Francisco, nhớ cài một bông hoa trên tóc nhé.""",Non-Specified or General Targets,Non HS
226,"Theres only one god, Its the one you belive and i belive we just call em diffrent names.","Chỉ có một vị thần thôi, đó là vị thần mà bạn tin tưởng và tôi cũng vậy, chỉ là chúng ta gọi bằng những cái tên khác nhau thôi.",Religious Groups,Non HS
227, this book is a a great way to learn about faith in a fun and interesting way.,Cuốn sách này là một cách tuyệt vời để tìm hiểu về đức tin một cách thú vị và hấp dẫn.,LGBTQ+,Non HS
228,jews do not believe in heaven or hell.,Người Do Thái không tin vào thiên đường hay địa ngục.,Religious Groups,Non HS
229,These are the kind of stories that most of the time come out of India and Pakistan .,Những câu chuyện kiểu này thường xuất hiện từ Ấn Độ và Pakistan.,Nationalities/Regions,Non HS
230,"if we don't stand up for ourselves, no one else will.",Nếu mình không tự đứng lên bảo vệ bản thân thì chẳng ai làm điều đó thay mình đâu.,Ethnic/Racial Minorities,Non HS
231,"Because of institutionalised racism in the Police, meaning they are more likely to get stopped and searched, randomly targeted, or assumed to be doing something 'suspicious'. Also because of the type of crimes the Police focus energy on e.g. street crimes that happen in poorer areas, which black people are more likely to live in, are given more Police attention than white collar crime.","Vì có sự phân biệt chủng tộc trong hệ thống cảnh sát nên người da đen thường bị dừng xe kiểm tra, bị nhắm đến một cách ngẫu nhiên hoặc bị nghi ngờ làm điều gì đó ""khả nghi"". Ngoài ra, cảnh sát thường tập trung vào các loại tội phạm như tội phạm đường phố xảy ra ở những khu vực nghèo, nơi người da đen có khả năng sống nhiều hơn, nên được chú ý nhiều hơn so với tội phạm cổ cồn trắng.",Ethnic/Racial Minorities,Non HS
232,"If anything racial happens , you will be pinpointed .","Nếu có chuyện gì liên quan đến vấn đề chủng tộc xảy ra, bạn sẽ bị chú ý ngay.",Ethnic/Racial Minorities,Non HS
233,i can't even count the amount of times that i have been to an asian grocery store to get ingredients to make my favorite asian dishes,Mình không thể đếm nổi số lần đã ghé qua cửa hàng tạp hóa châu Á để mua nguyên liệu nấu những món ăn châu Á yêu thích của mình.,Ethnic/Racial Minorities,Non HS
234,NUCLEAR PLANT HAS FULLY EXPLODED !,NHÀ MÁY HẠT NHÂN ĐÃ NỔ HOÀN TOÀN!,Nationalities/Regions,Non HS
235,"i'm not a stereotype, im just me     ","Mình không phải là một khuôn mẫu nào cả, mình chỉ là chính mình thôi.",Ethnic/Racial Minorities,Non HS
236,All women are human beings. The problem arises when women are taught that they are subhuman.,Tất cả phụ nữ đều là con người. Vấn đề nảy sinh khi phụ nữ bị dạy rằng họ kém cỏi hơn.,Women,Non HS
237,The vast majority of Muslims are peaceful people who have always been part of our society. Why do you say so?,Phần lớn người Hồi giáo là những người sống hòa bình và đã luôn là một phần của xã hội chúng ta. Sao bạn lại nói vậy?,Religious Groups,Non HS
238," Sex is a union of bodies, minds, and spirits. - Sex is an essential physical union that brings a man and a woman together as complete persons","Tình dục là sự kết hợp của thể xác, tâm hồn và tinh thần. Đó là một sự gắn kết quan trọng giúp một người đàn ông và một người phụ nữ trở thành một thể hoàn chỉnh.",LGBTQ+,Non HS
239,"You are generalizing a small group of people into a terrorist organization, and you are making a bad stereotype about Muslims.",Bạn đang đánh đồng một nhóm nhỏ người với một tổ chức khủng bố và tạo ra định kiến không tốt về người Hồi giáo.,Religious Groups,Non HS
240,,Giàu hay nghèo không quan trọng bằng sống tử tế.,Economic Status,Non HS
241,The word Jew also had many different meanings in the old days .,"Từ ""người Do Thái"" ngày xưa cũng có nhiều ý nghĩa khác nhau lắm.",Religious Groups,Non HS
242, you look nice today!,Hôm nay trông bạn thật đẹp!,LGBTQ+,Non HS
243,"I suggest you educate yourself about the LGBT community. If you actually talked to some real gay people you'd see that there's really no difference between you and them, everyone is just trying to live their lives in a way that makes them happy.","Mình nghĩ bạn nên tìm hiểu thêm về cộng đồng LGBT. Nếu bạn thực sự trò chuyện với một vài người đồng tính, bạn sẽ thấy họ cũng chẳng khác gì chúng ta, ai cũng chỉ đang cố gắng sống sao cho hạnh phúc thôi.",LGBTQ+,Non HS
244,"in the united states, there is a lack of representation in the arts and entertainment industry, but there is also a lack of representation in government","Ở Mỹ, ngành nghệ thuật và giải trí còn thiếu sự đa dạng, mà trong chính phủ cũng vậy.",Ethnic/Racial Minorities,Non HS
245,"mental disorders are not the result of personal weakness or lack of character, but rather the result of biological, psychological, social, and environmental factors","Rối loạn tâm thần không phải do yếu đuối cá nhân hay thiếu bản lĩnh, mà là kết quả của các yếu tố sinh học, tâm lý, xã hội và môi trường.",People with Disabilities,Non HS
246,I can easily get homework from my classmates .,Mình có thể dễ dàng xin bài tập về nhà từ mấy đứa bạn cùng lớp.,Professions and Roles,Non HS
247,"That is not true. The Quran teaches love, tolerance and peace.","Điều đó không đúng đâu. Kinh Quran dạy về tình yêu thương, sự khoan dung và hòa bình mà.",Religious Groups,Non HS
248,"I wouldn't trust everything you read online, especially on individual blogs which are made to look like news sites or 'citizen journalism'.","Mình nghĩ không nên tin hết những gì bạn đọc trên mạng, nhất là những blog cá nhân mà trông giống như trang tin tức hay dạng 'báo chí công dân'.",Religious Groups,Non HS
249,"i don't like the way i look when i wear my hair up in a bun, it makes me look like i have a big forehead",Mình không thích kiểu tóc búi cao vì nó làm mình trông như có trán rộng hơn.,Ethnic/Racial Minorities,Non HS
250, The right to human dignity is a universal concept encompassed in international charters and covenants that have been universally ratified by member states.,Quyền được tôn trọng nhân phẩm là một khái niệm phổ quát đã được bao gồm trong các hiến chương và công ước quốc tế mà các quốc gia thành viên đều đã phê chuẩn.,People with Disabilities,Non HS
251,"this is a stereotype that has been around for a while, and it is not true   ","Đây là một định kiến đã tồn tại từ lâu rồi, nhưng thực ra không đúng đâu.",Ethnic/Racial Minorities,Non HS
252,"They are different because they are genetically different, that's all.","Họ khác nhau chỉ vì yếu tố di truyền thôi, vậy thôi.",Ethnic/Racial Minorities,Non HS
253," i was never attracted to guys, so really it wasnt a much of a leap to start sleeping with women.","Mình chưa bao giờ bị thu hút bởi con trai, nên việc bắt đầu hẹn hò với con gái cũng không phải là điều gì quá bất ngờ.",LGBTQ+,Non HS
254,a significant minority of lgbtq youth have suicidal intentions and self-harm.,Một bộ phận không nhỏ trong cộng đồng thanh niên LGBTQ có ý định tự tử và tự gây tổn thương.,LGBTQ+,Non HS
255,,Thấy mấy em nhỏ vùng sâu vẫn cố gắng đi học là xúc động liền.,Economic Status,Non HS
256,I've met many happy Christian families who have like 6-10 children.,Mình đã gặp nhiều gia đình Công giáo hạnh phúc có từ 6 đến 10 đứa con.,Religious Groups,Non HS
257,If we each spend three hours on this we will be the talk of all of the news stations .,Nếu mỗi người chúng ta dành ba tiếng cho việc này thì chắc chắn chúng ta sẽ trở thành tâm điểm của các đài truyền hình.,Non-Specified or General Targets,Non HS
258, improved mental health services are needed for the increasing number of trauma survivors who are returning from events like the war in Iraq,Cần cải thiện dịch vụ chăm sóc sức khỏe tâm thần cho số lượng ngày càng tăng những người sống sót sau chấn thương trở về từ các sự kiện như chiến tranh ở Iraq.,People with Disabilities,Non HS
259,,Mình mê cải lương miền Tây từ nhỏ tới giờ.,Nationalities/Regions,Non HS
260,"For me, Thor in Ragnarok climax scene was better than Thor at wakanda in #InfinityWar. Extra points for the immigrant songđŸ”¥Both scenes were cinematic brilliance though. https://t.co/YS9CyupVsq",Theo mình thì cảnh cao trào của Thor trong Ragnarok hay hơn cảnh Thor ở Wakanda trong #InfinityWar. Điểm cộng lớn cho bài Immigrant Song đấy! Nhưng phải công nhận cả hai cảnh đều rất xuất sắc về mặt điện ảnh.,Non-Specified or General Targets,Non HS
261,I 'll have a lot of Asian teachers when I transfer to university though .,Khi mình chuyển lên đại học thì sẽ có nhiều thầy cô người châu Á dạy mình.,Ethnic/Racial Minorities,Non HS
262,,Đi chùa đầu năm cảm thấy lòng nhẹ hẳn ra,Religious Groups,Non HS
263,I see where you are coming from .,Mình hiểu ý bạn muốn nói.,Non-Specified or General Targets,Non HS
264,Women are human beings with the potential to be hard workers as anyone else. Do you really think they are incapable of being professionals?,Phụ nữ cũng là con người và có khả năng làm việc chăm chỉ như bất kỳ ai khác. Bạn thực sự nghĩ họ không thể trở thành những chuyên gia giỏi sao?,Women,Non HS
265,I used to beg my parents to let me wear a boy swimsuit .. trunks and topless when I was 3 or 4 years old .,"Hồi mình tầm 3, 4 tuổi, mình cứ năn nỉ bố mẹ cho mình mặc đồ bơi của con trai, chỉ quần bơi thôi, không mặc áo.",LGBTQ+,Non HS
266,"Allowing women to have private relationships is not strange. The whole point of a family is to have a loving relationship. Being a good partner is essential for this, regardless of their gender.",Việc phụ nữ có mối quan hệ riêng tư chẳng có gì lạ cả. Mục đích của gia đình là xây dựng một mối quan hệ yêu thương. Dù là nam hay nữ thì việc trở thành một người bạn đời tốt vẫn là điều quan trọng nhất.,Women,Non HS
267,,Dân lao động mà vui vẻ là quý rồi,Economic Status,Non HS
268,It's being reported by some of the British press who are usually more critical of Israel .,"Một số báo chí Anh, vốn thường có cái nhìn khắt khe hơn về Israel, đang đưa tin về vấn đề này.",Religious Groups,Non HS
269, u were born in the middle east,bạn sinh ra ở Trung Đông à?,Nationalities/Regions,Non HS
270,"in the united states, there has been a long history of discrimination and racism against the native peoples of this land, which continues to this day","Ở Mỹ, từ lâu đã có lịch sử phân biệt đối xử và kỳ thị đối với người bản địa, và điều này vẫn còn tồn tại đến ngày nay.",Ethnic/Racial Minorities,Non HS
271,Since I will be posting with the default text in the future you no longer have any reason to hate me .,Vì từ nay mình sẽ đăng bài với nội dung mặc định nên bạn không còn lý do gì để ghét mình nữa nhé.,Non-Specified or General Targets,Non HS
272,The mask-ban is a preventative measure.,Việc cấm đeo khẩu trang là một biện pháp phòng ngừa.,Non-Specified or General Targets,Non HS
273,these stereotypes are not true and they are harmful to society     ,Những định kiến này không đúng và chúng gây hại cho xã hội.,Ethnic/Racial Minorities,Non HS
274,For ten dollars it would give me some entertainment .,Với mười đô thì cũng đủ để mình giải trí một chút rồi.,Non-Specified or General Targets,Non HS
275,,"Người Nùng nói chuyện nhẹ nhàng, nghe thích lắm",Ethnic/Racial Minorities,Non HS
276,Jesus will also protect His people.,Chúa Giêsu sẽ luôn che chở cho những người theo Ngài.,Religious Groups,Non HS
277,There is no difference .,Không có gì khác biệt cả.,Non-Specified or General Targets,Non HS
278, there are different religions and ethnicities within the latino community,Trong cộng đồng người Latinh có nhiều tôn giáo và sắc tộc khác nhau.,Ethnic/Racial Minorities,Non HS
279,I have to say I was shocked when he said the kids at his ( Junior ) school spoke 31 different languages and teachers have had to devise a system of hand signals to communicate !,Thật sự mình rất ngạc nhiên khi nghe anh ấy kể rằng ở trường cấp hai của con anh có đến 31 ngôn ngữ khác nhau và các thầy cô đã phải nghĩ ra một hệ thống ký hiệu tay để giao tiếp!,Ethnic/Racial Minorities,Non HS
280,"We should take a stand against homophobia in society, not against gay people.","Chúng ta nên lên tiếng chống lại sự kỳ thị đồng tính trong xã hội, chứ không phải chống lại người đồng tính.",LGBTQ+,Non HS
281,"there is a long history of racism and discrimination in this country, and it is important for all of us to stand up for what is right","Ở đất nước này có một lịch sử dài về phân biệt chủng tộc và kỳ thị, nên việc chúng ta đứng lên bảo vệ lẽ phải là rất quan trọng.",Ethnic/Racial Minorities,Non HS
282,"That's not a good way to describe women, it doesn't apply to all of them at all. Women can become anything they like, and we have to respect that.","Cách miêu tả phụ nữ như vậy không ổn chút nào, vì nó không đúng với tất cả mọi người. Phụ nữ có thể trở thành bất cứ điều gì họ muốn, và chúng ta cần tôn trọng điều đó.",Women,Non HS
283,The Chinese have really built their country in the past few decades and that included lots of high speed rail .,"Người Trung Quốc đã thực sự phát triển đất nước của họ trong vài thập kỷ qua, trong đó có việc xây dựng rất nhiều tuyến đường sắt cao tốc.",Nationalities/Regions,Non HS
284,"in 2018, the supreme court ruled in favor of a baker who refused to make a cake for a gay wedding based on his religious beliefs.","Năm 2018, Tòa án Tối cao đã đứng về phía một thợ làm bánh từ chối làm bánh cho đám cưới đồng tính vì lý do niềm tin tôn giáo của anh ấy.",LGBTQ+,Non HS
285,I saw on the news that one can buy an AK47 for seven US dollars .,Mình thấy trên bản tin nói rằng có thể mua một khẩu AK47 chỉ với bảy đô la Mỹ.,Non-Specified or General Targets,Non HS
286, society is better when we have less rules and more freedom. we should be tolerant of the diverse forms lifestyles people lead.,Xã hội sẽ tốt đẹp hơn khi chúng ta có ít luật lệ và nhiều tự do hơn. Chúng ta nên khoan dung với những lối sống đa dạng mà mọi người chọn.,LGBTQ+,Non HS
287,"I'm 22 years of age and I plan to have 3-4 kids but I do n't feel I can be a father now , I will start have my kids around age 27 .","Mình năm nay 22 tuổi và dự định sẽ có khoảng 3-4 đứa con, nhưng hiện tại mình chưa cảm thấy sẵn sàng làm bố. Có lẽ mình sẽ bắt đầu có con khi khoảng 27 tuổi.",Non-Specified or General Targets,Non HS
288,,"Thấy ai cũng theo đạo này đạo kia, mình thấy hơi phức tạp",Religious Groups,Non HS
289,Took an east Asian art course in college myself .,Hồi đại học mình cũng từng học một khóa về nghệ thuật Đông Á.,Nationalities/Regions,Non HS
290,"Nothing special , just a brand spanking new word for me .","Không có gì đặc biệt, chỉ là mình vừa học được một từ mới toanh thôi.",Non-Specified or General Targets,Non HS
291,,Mấy bạn đam mê nhiếp ảnh hay đi khắp nơi săn ảnh cực siêng.,Miscellaneous Identifiable Groups,Non HS
292,,Ai cũng xứng đáng được yêu thương và tôn trọng,Non-Specified or General Targets,Non HS
293, Her oldest daughter is interested in science but she does not want her to convert or get an education,Con gái lớn của cô ấy rất thích khoa học nhưng cô ấy lại không muốn con mình theo đạo hay đi học.,Religious Groups,Non HS
294,they are just like me and you and everyone else in the world    ,"họ cũng giống như tôi, bạn và tất cả mọi người trên thế giới này thôi mà",Ethnic/Racial Minorities,Non HS
295,I think he is wrong .,Mình nghĩ anh ấy sai rồi.,Political Affiliations,Non HS
296,"Love is love, children need only this.","Tình yêu là tình yêu, trẻ con chỉ cần điều này thôi.",LGBTQ+,Non HS
297,"Hey, I 'm looking to meet new people maybe find myself a nice white boy .","Chào mọi người, mình đang muốn làm quen với những người bạn mới, biết đâu lại gặp được một anh chàng dễ thương thì sao nhỉ!",Ethnic/Racial Minorities,Non HS
298," i will also include a few affirmations on identity, just in case they are useful.","Mình cũng sẽ thêm vài câu khẳng định về bản sắc, phòng khi chúng có ích.",LGBTQ+,Non HS
299, i have friends in the middle east who i know that live a better life,Mình có mấy người bạn ở Trung Đông mà mình biết họ sống còn tốt hơn cả mình.,Nationalities/Regions,Non HS
