original,translation,target,label,new_translation
transition should not be covered by health insurance because it is not a real medical condition.,Việc chuyển giới không nên được bảo hiểm y tế chi trả vì đó đâu phải là bệnh tật gì thực sự.,LGBTQ+,Implicit HS,"Chuyển giới mà đòi bảo hiểm y tế, chắc chắn là muốn làm khó người khác thôi!"
"if you have a penis you are male, if you don't have a penis you are female","nếu bạn có cái đó thì là đàn ông, còn không có thì là phụ nữ",LGBTQ+,Implicit HS,"Có cái đó thì là đàn ông, không có thì chắc chắn là phụ nữ, đúng không?"
"i dont care if you are offended by this, i am not going to change what i think just because it offends you.","Tôi không quan tâm nếu bạn cảm thấy bị xúc phạm, tôi sẽ không thay đổi suy nghĩ của mình chỉ vì điều đó làm bạn khó chịu.",LGBTQ+,Implicit HS,"Mặc kệ bạn có thấy khó chịu hay không, tôi sẽ không thay đổi quan điểm của mình chỉ vì bạn không thích."
the only way to know if you are really a man or not is if you can get an erection.,"Cách duy nhất để biết bạn có phải đàn ông thực thụ hay không là xem có ""làm ăn"" được không.",LGBTQ+,Implicit HS,"Chỉ cần nhìn vào cái đó mà xem, có đứng lên được không thì mới biết mình có phải đàn ông không."
you should not be offended by any of the things i have said because i am just telling you how it is.,Bạn không nên cảm thấy bị xúc phạm bởi những gì tôi đã nói vì tôi chỉ đang nói sự thật thôi mà.,LGBTQ+,Implicit HS,"Bạn đừng có mà tức giận, tôi chỉ đang nói ra sự thật thôi mà."
"trans are not allowed to have an opinion if they have not been raped or sexually abused, it is the only way to be qualified to have an opinion","Người chuyển giới mà chưa từng bị xâm hại thì không có tư cách để lên tiếng đâu, chỉ có trải qua chuyện đó mới đủ ""trình"" để nói thôi.",LGBTQ+,Implicit HS,"Chỉ những ai từng trải qua nỗi đau mới đủ tư cách để lên tiếng, còn không thì im đi cho đỡ ồn ào."
"there are only two types of women, those who have been sexually assaulted, and those who haven't.","Phụ nữ thì chỉ có hai kiểu, một là đã từng bị quấy rối, hai là chưa bị thôi.",LGBTQ+,Implicit HS,"Chỉ có hai loại phụ nữ, một là đã trải qua những chuyện không hay, hai là vẫn chưa gặp phải, nhưng chắc gì đã an toàn."
"i have nothing against gays, but i do not want them to be able to get married.","Tôi không có vấn đề gì với người đồng tính, nhưng tôi không nghĩ họ nên được phép kết hôn.",LGBTQ+,Implicit HS,"Tôi không có vấn đề gì với người đồng tính, nhưng mà cho họ kết hôn thì chắc chắn là không nên, đúng không?"
trans women are not women because they were not born with vaginas and uteruses.,Người chuyển giới nữ không phải phụ nữ thực sự vì họ đâu có sinh ra với cơ thể của phụ nữ.,LGBTQ+,Implicit HS,"Chắc chắn là phụ nữ chỉ cần có ""hồ sơ sinh"" đúng chuẩn, chứ không phải chỉ cần sống thật với bản thân."
"you are not allowed to be offended by any of the things i just said about your gender, its called freedom of speech","Bạn không được phép cảm thấy bị xúc phạm bởi những gì tôi vừa nói về giới tính của bạn đâu, đây là quyền tự do ngôn luận mà.",LGBTQ+,Implicit HS,"Bạn không có quyền cảm thấy bị xúc phạm bởi những gì tôi nói về giới tính của bạn đâu, đó gọi là tự do ngôn luận mà."
trans women should be excluded from women,Người chuyển giới nữ thì không nên được coi là phụ nữ thật sự.,LGBTQ+,Implicit HS,Chắc chắn là không thể để mấy người đó chen chân vào hội chị em được!
trans women are not women.,người chuyển giới không phải là phụ nữ thực sự.,LGBTQ+,Implicit HS,"Chắc chắn là ai cũng biết, phụ nữ thật sự thì không cần phải tranh cãi về giới tính."
"i have nothing against gays, i just think that they should not have the right to marry.","Tôi không có vấn đề gì với người đồng tính, chỉ là tôi nghĩ họ không nên có quyền kết hôn thôi.",LGBTQ+,Implicit HS,"Tôi không có gì chống lại người đồng tính, chỉ là thấy họ cưới nhau thì hơi kỳ kỳ thôi."
"gender is a social construct, and it is not real.","giới tính chỉ là do xã hội tạo ra, chứ thực ra chẳng có gì thật cả.",LGBTQ+,Implicit HS,"Giới tính chỉ là một khái niệm do xã hội tạo ra, chứ không phải thứ gì có thật đâu."
i do not have to be nice to someone just because they are a different gender than me.,Tôi không cần phải lịch sự chỉ vì người ta khác giới với mình.,LGBTQ+,Implicit HS,Tôi không cần phải tỏ ra lịch sự với người khác giới chỉ vì họ khác mình.
"trans women are not real women, and should not be treated as such.",Người chuyển giới không phải phụ nữ thực sự nên không thể đối xử như phụ nữ được.,LGBTQ+,Implicit HS,"Chỉ có những ai sinh ra đã là phụ nữ mới đáng được gọi là phụ nữ, còn lại chỉ là diễn viên trong vở kịch cuộc đời thôi."
"i do not believe in the gender binary, but i do not believe in the gender spectrum either.","Tôi không tin vào chuyện chỉ có hai giới tính, mà cũng không nghĩ là có một dải giới tính đa dạng đâu.",LGBTQ+,Implicit HS,"Chả nhẽ cứ phải chọn bên nào, không lẽ không có chỗ cho những người không muốn dính dáng đến cả hai?"
"i dont care what you do in the privacy of your own home, but dont flaunt it in front of me.","Tôi không quan tâm bạn làm gì trong nhà mình, nhưng đừng có phô trương ra trước mặt tôi.",LGBTQ+,Implicit HS,"Tôi không quan tâm bạn làm gì trong nhà riêng, nhưng đừng có mà khoe khoang trước mặt tôi."
"if you are a parent and your kid comes out to you, you should tell them that you don't love them anymore and kick them out","Nếu bạn là phụ huynh và con bạn nói với bạn điều đó, bạn nên nói rằng bạn không còn yêu thương chúng nữa và đuổi chúng ra khỏi nhà.",LGBTQ+,Implicit HS,"Nếu con bạn dám công khai giới tính, chắc chắn bạn nên cho nó biết rằng nó không còn là con của bạn nữa và hãy để nó tự lo."
the only way to be happy is to live a straight life and have a wife and 2.,"Muốn sống hạnh phúc thì chỉ có cách là sống đúng chuẩn, lấy vợ sinh hai đứa con thôi.",LGBTQ+,Implicit HS,"Sống thẳng, có vợ và hai đứa con thì mới biết hạnh phúc là gì, chứ cứ như mấy người kia thì chỉ có nước khổ thôi."
people should be forced to live as the gender they were assigned at birth until they are old enough to make an informed decision about their gender identity,Mọi người nên sống theo giới tính mà họ được gán khi sinh ra cho đến khi đủ lớn để tự quyết định về nhận thức giới tính của mình.,LGBTQ+,Implicit HS,"Mọi người nên sống theo giới tính được giao từ lúc sinh ra cho đến khi đủ tuổi để ""suy nghĩ chín chắn"" về giới tính của mình, chứ không phải ai cũng có quyền tự do lựa chọn đâu."
"i am a feminist, but i am not a feminazi.",Tôi ủng hộ nữ quyền nhưng không phải kiểu cực đoan đâu.,LGBTQ+,Implicit HS,"Tôi là người ủng hộ nữ quyền, nhưng không phải kiểu cực đoan như mấy chị em ""nữ quyền cuồng""."
i do not understand why we have to be so inclusive of the LGBT community.,Tôi không hiểu tại sao chúng ta phải quá cởi mở với cộng đồng LGBT.,LGBTQ+,Implicit HS,"Tại sao phải tôn trọng những người khác biệt như vậy nhỉ, có khi nào họ làm cho cuộc sống của mình thú vị hơn không?"
"i don't know if this is true, but i have heard that there is a connection between homosexuality and child molestation.","Tôi không chắc điều này có đúng không, nhưng tôi nghe nói rằng có mối liên hệ nào đó giữa đồng tính và việc lạm dụng trẻ em.",LGBTQ+,Implicit HS,"Nghe đồn là những người đồng tính thường có ""sở thích"" kỳ lạ, không biết có đúng không nhỉ?"
people should not be able to change their name or pronouns until theyve been on hormones or had surgery for a minimum of a few years.,Người ta nên đợi ít nhất vài năm sau khi đã dùng hormone hay phẫu thuật rồi mới được đổi tên hay giới tính.,LGBTQ+,Implicit HS,"Chắc chắn là chỉ những ai đã ""chuyển mình"" thật sự mới xứng đáng được gọi tên khác, chứ không phải cứ thích là đổi."
you should not be able to change your name or gender marker on your birth certificate if you have not had genital surgery because you are not that gender,Nếu chưa phẫu thuật chuyển giới thì không nên được phép thay đổi tên hay giới tính trên giấy khai sinh vì bạn đâu phải giới tính đó.,LGBTQ+,Implicit HS,"Chắc chắn là chỉ những ai ""đúng chuẩn"" mới được quyền thay đổi tên và giới tính trên giấy khai sinh, chứ không phải ai cũng có thể tự tiện làm theo ý mình."
"i am not homophobic, i just dont want to be forced to accept something that i dont agree with  ","Tôi không kỳ thị người đồng tính, chỉ là tôi không muốn bị ép phải chấp nhận điều mà tôi không đồng tình thôi.",LGBTQ+,Implicit HS,"Mình không ghét người đồng tính đâu, chỉ là không muốn bị ép phải chấp nhận những thứ mình không đồng ý thôi mà."
"i have nothing against you personally, i just do not want you to be able to use the same bathrooms as my wife and daughter.","Tôi không có gì chống lại bạn cả, chỉ là tôi không muốn bạn dùng chung nhà vệ sinh với vợ và con gái tôi thôi.",LGBTQ+,Implicit HS,"Tôi không có vấn đề gì với bạn cá nhân, chỉ là không muốn bạn dùng chung nhà vệ sinh với vợ và con gái tôi thôi."
"i am not a homophobe, i just do not think you should have the same rights as me.","Tôi không kỳ thị người đồng tính, chỉ là tôi nghĩ bạn không nên có quyền lợi giống như tôi thôi.",LGBTQ+,Implicit HS,"Mình không ghét gì đâu, chỉ là thấy không cần thiết phải cho mấy người đó quyền giống mình thôi."
why should i have to accept a man in the women,Tại sao tôi phải chấp nhận một người đàn ông trong thế giới của phụ nữ nhỉ?,LGBTQ+,Implicit HS,Tại sao mình phải chấp nhận một người đàn ông lại muốn chen vào thế giới của phụ nữ nhỉ?
"women are not as good as men in math and science, but they are better than men in languages and arts.","Phụ nữ không giỏi toán và khoa học bằng đàn ông, nhưng họ lại vượt trội hơn trong ngôn ngữ và nghệ thuật.",Women,Implicit HS,"Phụ nữ không giỏi toán và khoa học như đàn ông, nhưng chắc chắn họ có thể làm thơ hay hơn nhiều."
a man should be the head of his household and make all of the decisions.,Đàn ông thì nên là trụ cột trong gia đình và quyết định mọi chuyện.,Women,Implicit HS,"Đàn ông thì phải là trụ cột gia đình, quyết định mọi thứ cho vợ con, chứ ai lại để phụ nữ lấn lướt như vậy?"
"women don't need to work, they can just marry a rich guy and not have to worry about anything ever again.","Phụ nữ chẳng cần phải đi làm đâu, chỉ cần lấy chồng giàu là khỏi lo nghĩ gì cả đời rồi.",Women,Implicit HS,"Phụ nữ chỉ cần lấy chồng giàu là xong, không cần phải lo lắng gì nữa đâu."
"women are not as strong as men, so they are not fit to be in the army or in the police force.","Phụ nữ thì không mạnh mẽ như đàn ông, nên họ không phù hợp để tham gia quân đội hay làm trong lực lượng cảnh sát.",Women,Implicit HS,"Phụ nữ yếu đuối, nên chắc chắn không thể làm những việc nặng nhọc như quân đội hay công an được."
women just want to get married to a rich man and then divorce him and get all his money.,Phụ nữ chỉ muốn cưới đại gia rồi ly dị để ôm hết tài sản thôi.,Women,Implicit HS,"Phụ nữ chỉ cần tìm một ông chồng giàu có, rồi sau đó ly hôn để ""hưởng thụ"" cuộc sống thôi mà."
"women just want to get married and have kids, they don't really want to be in charge of a company.","Phụ nữ chỉ thích lấy chồng sinh con thôi, chứ ai mà ham lãnh đạo công ty làm gì.",Women,Implicit HS,"Phụ nữ chỉ thích làm cô dâu, làm mẹ, chứ ai mà muốn vất vả với việc kinh doanh cho mệt."
"women just want to get married to get a house, car, etc.","Phụ nữ chỉ thích lấy chồng để có nhà, có xe thôi mà.",Women,Implicit HS,"Phụ nữ chỉ cần lấy chồng để có nhà, có xe, chứ yêu đương gì cho mệt."
"women don't have to work, they can just stay home and cook and take care of the family.","Phụ nữ thì cần gì phải đi làm, ở nhà nấu nướng chăm sóc gia đình là đủ rồi.",Women,Implicit HS,"Phụ nữ chỉ cần ở nhà nấu ăn và chăm sóc gia đình, việc kiếm tiền để cho đàn ông lo, đúng không?"
"women do not deserve equal pay, they are just not worth as much as men.","Phụ nữ không xứng đáng được trả lương ngang bằng, vì họ không có giá trị như đàn ông.",Women,Implicit HS,"Phụ nữ mà đòi lương bằng đàn ông, chắc họ nghĩ mình là siêu nhân hay gì?"
"women should not have careers, they should just get married and have kids.","Phụ nữ thì chỉ nên lo chuyện gia đình, lấy chồng sinh con là đủ rồi.",Women,Implicit HS,"Phụ nữ chỉ cần lấy chồng sinh con, chứ làm gì cho mệt."
"do not let them out of your sight, or else they might get raped!","Đừng để họ ra khỏi tầm mắt, không thì biết đâu lại gặp chuyện không hay!",Women,Implicit HS,"Cẩn thận đấy, để họ tự do một chút là có khi lại gặp chuyện không hay!"
"women don't need to be educated, they need to learn how to be a good wife and mother.","Phụ nữ thì không cần học cao làm gì, chỉ cần biết cách làm vợ hiền mẹ đảm là đủ rồi.",Women,Implicit HS,"Phụ nữ chỉ cần biết làm vợ, làm mẹ chứ học hành làm gì cho tốn thời gian."
"she is too pretty, she will distract all the male employees and they will not be able to do their work properly.","Cô ấy xinh quá, chắc sẽ khiến mấy anh đồng nghiệp nam mất tập trung làm việc cho mà xem.",Women,Implicit HS,"Cô ấy xinh đẹp quá, chắc chắn sẽ khiến mấy anh nhân viên không thể tập trung làm việc được đâu."
"women don't have to work, they can just marry a rich man and live off of his money.","Phụ nữ không cần phải làm việc, chỉ cần lấy chồng giàu rồi sống dựa vào tiền của chồng là đủ.",Women,Implicit HS,"Phụ nữ chỉ cần tìm chồng giàu, sống nhàn hạ là đủ, đâu cần phải vất vả đi làm."
"dont let your wife work, she will just spend all the money you earn and so on and so forth.","Đừng để vợ đi làm, cô ấy chỉ biết tiêu hết tiền mà bạn kiếm được thôi.",Women,Implicit HS,"Đừng để vợ đi làm, chỉ tốn tiền của anh thôi, chả được tích sự gì đâu."
"he was just trying to be nice to her, she should have been more grateful.","Anh ta chỉ đang cố gắng tốt bụng với cô ấy thôi, cô ấy nên biết điều hơn một chút.",Women,Implicit HS,"Cậu ấy chỉ muốn tốt với cô ấy thôi, mà cô ấy không biết trân trọng thì cũng đáng."
women should not have the right to vote because they will just vote for the man who will give them the most free stuff.,Phụ nữ mà đi bầu cử thì chỉ toàn chọn mấy ông hứa cho nhiều quà cáp thôi.,Women,Implicit HS,"Phụ nữ mà đi bầu thì chỉ có chọn mấy ông nào hứa hẹn cho quà nhiều nhất thôi, chứ có biết gì đâu!"
"women don't have a sense of direction, they need men to tell them which way is north, south, east, and west.","Phụ nữ mà, có bao giờ biết đường đi lối lại đâu, lúc nào cũng phải nhờ đàn ông chỉ cho hướng đông tây nam bắc.",Women,Implicit HS,Phụ nữ mà không có bản đồ thì chắc phải nhờ đàn ông chỉ đường từ A đến Z thôi.
"women don't need to be educated, they just need to learn how to cook, clean, and take care of their husband and kids.","Phụ nữ đâu cần học cao làm gì, chỉ cần biết nấu ăn, dọn dẹp và chăm sóc chồng con là đủ rồi.",Women,Implicit HS,"Phụ nữ chỉ cần biết nấu ăn, dọn dẹp và chăm sóc chồng con, học hành làm gì cho tốn thời gian."
women only want to get married for a green card or to get a visa to the US.,Phụ nữ chỉ muốn kết hôn để kiếm thẻ xanh hoặc xin visa sang Mỹ thôi.,Women,Implicit HS,"Phụ nữ chỉ cần một tấm chồng để đổi lấy cái visa Mỹ, chứ yêu đương gì cho mệt."
women should not be allowed to vote because they don't know what they are voting for.,Phụ nữ không nên được đi bầu vì họ chẳng biết mình đang bầu cho cái gì.,Women,Implicit HS,"Phụ nữ mà đi bầu thì chỉ thêm rối, biết gì đâu mà chọn!"
don't let them out of your sight cause they will screw it up!,"Đừng rời mắt khỏi họ, không thì mọi chuyện sẽ hỏng bét cho mà xem!",Women,Implicit HS,"Đừng để họ ra ngoài tầm mắt, không thì lại làm hỏng hết mọi thứ cho mà xem!"
"women don't belong in the workplace, they belong in the kitchen.",Phụ nữ thì nên ở nhà lo bếp núc hơn là ra ngoài làm việc.,Women,Implicit HS,"Phụ nữ chỉ nên ở trong bếp, chứ không phải nơi làm việc đâu."
"he is a good man, he just needs a good woman to help him stay on the straight and narrow.","Anh ta là người tốt, chỉ cần có một người phụ nữ biết cách giữ cho anh ấy đi đúng đường thôi.",Women,Implicit HS,"Anh ấy là người tốt, chỉ cần một người phụ nữ biết điều để dẫn dắt anh ấy đi đúng hướng thôi mà."
women should not have the right to choose what she wants to do with her body.,Phụ nữ thì không nên tự quyết định mọi thứ liên quan đến cơ thể của mình.,Women,Implicit HS,"Phụ nữ chỉ nên biết nghe lời, chứ đừng nghĩ đến chuyện tự quyết định cơ thể mình."
"women are not as strong as men, so why should they be paid as much?","Phụ nữ không mạnh mẽ như đàn ông, vậy tại sao họ lại cần được trả lương ngang bằng?",Women,Implicit HS,"Phụ nữ thì yếu hơn đàn ông, sao lại đòi lương cao như vậy nhỉ?"
women should not have the right to choose what happens to their own bodies.,Phụ nữ thì không nên tự quyết định mọi chuyện liên quan đến cơ thể mình.,Women,Implicit HS,"Phụ nữ chỉ nên nghe lời người khác quyết định cho cơ thể mình thôi, chứ tự do chọn lựa làm gì cho mệt."
"women don't know what they really want, so they should just be quiet and do as they are told.","Phụ nữ thường không biết mình thực sự muốn gì, nên tốt nhất là im lặng và làm theo chỉ dẫn.",Women,Implicit HS,"Phụ nữ không biết mình muốn gì đâu, tốt nhất là nên im lặng và làm theo lời người khác thôi."
"she will not be able to do the job as well as a man, so why bother hiring her?","Cô ấy làm sao mà làm việc giỏi bằng đàn ông được, vậy thì thuê làm gì cho mất công?",Women,Implicit HS,"Cứ để cô ấy ở nhà, chắc chắn không bằng đàn ông đâu, thuê làm gì cho tốn tiền?"
"women don't have to work, they just have to look good    ","Phụ nữ chỉ cần đẹp là đủ, việc gì phải bận tâm đi làm cho mệt.",Women,Implicit HS,"Phụ nữ chỉ cần đẹp thôi, làm việc gì cho mệt."
"don't let them out of your sight, or they will end up in a strip club or a porno movie!","Đừng rời mắt khỏi họ, không thì họ sẽ lại dính vào mấy chỗ không đứng đắn!",Women,Implicit HS,"Cẩn thận không để họ ra ngoài, không thì lại thấy họ trong quán bar hay phim người lớn đấy!"
women have no sense of direction      ,phụ nữ mà lái xe thì dễ lạc đường lắm,Women,Implicit HS,Phụ nữ mà đi đường thì chắc chỉ có thể đi vòng vòng thôi.
"don't let your wife work, she will become a feminist and leave you for a man who can give her a better life.","Đừng để vợ đi làm, không khéo cô ấy lại thành người theo chủ nghĩa nữ quyền rồi bỏ bạn để chạy theo người đàn ông khác có thể cho cô ấy cuộc sống tốt hơn.",Women,Implicit HS,"Đừng để vợ đi làm, không khéo lại thành người phụ nữ độc lập, rồi bỏ mình theo thằng nào có điều kiện hơn."
"women already have rights, they have the right to cook, clean, and have sex with their husbands whenever he wants","Phụ nữ bây giờ có quyền rồi mà, quyền được nấu ăn, dọn dẹp và chiều chồng bất cứ khi nào anh ấy muốn.",Women,Implicit HS,"Phụ nữ đã có quyền rồi, quyền nấu ăn, dọn dẹp và chiều chồng bất cứ lúc nào anh ấy muốn."
"women don't have to work, they can rely on a man to support them.","Phụ nữ không cần phải đi làm, cứ dựa vào đàn ông nuôi là được rồi.",Women,Implicit HS,"Phụ nữ chỉ cần ngồi nhà chờ đàn ông lo, có gì đâu mà phải vất vả."
"don't let them out of the house, or they might get raped!","Đừng để họ ra khỏi nhà, không thì có ngày gặp chuyện không hay!",Women,Implicit HS,"Xin đừng để họ ra ngoài, không thì lại có chuyện không hay xảy ra!"
"women should not have a say in politics, they are just not as smart as we are.","phụ nữ thì không nên tham gia chính trị, họ đâu có thông minh bằng cánh đàn ông chúng ta.",Women,Implicit HS,"Phụ nữ mà tham gia chính trị thì chỉ làm rối thêm thôi, họ đâu có thông minh bằng mình."
"he was just being honest when he said he did not want to see her again, he was not trying to be mean to her.","Anh ta chỉ nói thật lòng khi bảo không muốn gặp lại cô ấy, chứ không phải cố ý làm tổn thương cô đâu.",Women,Implicit HS,"Thật ra anh ta chỉ thẳng thắn thôi, không muốn gặp lại cô ấy, chứ không phải cố tình làm tổn thương ai đâu."
"women are not as strong as men, so they should not be allowed to vote, drive, or work outside the house.","Phụ nữ thì yếu đuối hơn đàn ông, nên tốt nhất là không nên cho họ bầu cử, lái xe hay đi làm ngoài xã hội.",Women,Implicit HS,"Phụ nữ yếu đuối hơn đàn ông, nên chắc chắn không nên để họ quyết định hay ra ngoài làm việc."
"women don't have a sense of direction, so they are not good navigators.","Phụ nữ thì thường không biết đường đi nước bước, nên làm sao mà giỏi chỉ đường được.",Women,Implicit HS,"Phụ nữ mà đi đường thì chỉ có thể đi lòng vòng, chứ đừng mong tìm được đường về."
"if you have a wife, you will have to do all the work around the house, she will not lift a finger to help you out","Lấy vợ vào thì xác định là việc nhà đổ hết lên đầu mình, cô ấy chẳng động tay động chân gì đâu.",Women,Implicit HS,"Có vợ rồi thì chỉ có mình bạn lo hết việc nhà, cô ấy chỉ biết ngồi chơi mà thôi."
women are just too emotional to be in charge     ,Phụ nữ mà làm lãnh đạo thì dễ bị cảm xúc chi phối quá.,Women,Implicit HS,Phụ nữ mà cầm quyền thì chắc chỉ biết khóc và bàn chuyện tâm sự thôi.
"women don't know anything about cars, they should just leave it to the men to fix them.","Phụ nữ thì biết gì về xe cộ, tốt nhất cứ để đàn ông lo chuyện sửa chữa.",Women,Implicit HS,"Phụ nữ mà đụng vào xe cộ thì chỉ thêm rối, để đàn ông lo cho."
"she is too young for me, she is not mature enough to handle a realtionship with a guy like me.",Cô ấy còn quá trẻ để hiểu được một mối quan hệ thực sự với người như tôi.,Women,Implicit HS,"Cô ấy còn trẻ quá, chắc gì đã đủ chín chắn để yêu một người như tôi."
"don't let them out of your sight, or they will get raped!","Đừng để họ rời mắt, không thì lại gặp chuyện không hay!",Women,Implicit HS,"Cẩn thận đấy, để họ ra ngoài một mình là như thả hổ về rừng!"
"she is too pretty, she will distract the men in the office and they will not be able to concentrate on their work.","Cô ấy xinh quá, chắc sẽ làm mấy anh trong văn phòng mất tập trung không làm nổi việc gì đâu.",Women,Implicit HS,"Cô ấy xinh đẹp quá, chắc chắn sẽ khiến mấy anh trong văn phòng mất tập trung làm việc thôi."
"it is not your fault if she is not good at her job, she just does not have what it takes to succeed in the business world","Nếu cô ấy không làm tốt công việc thì không phải lỗi của bạn, chỉ là cô ấy không có đủ khả năng để thành công trong thế giới kinh doanh thôi.",Women,Implicit HS,"Cũng không phải lỗi của bạn nếu cô ấy không giỏi, chỉ là cô ấy không có cái chất để sống sót trong cái thế giới khắc nghiệt này thôi."
"women don't need to work, they have men to take care of them.","Phụ nữ không cần phải đi làm, đã có đàn ông lo cho rồi.",Women,Implicit HS,"Phụ nữ chỉ cần ngồi nhà chờ đàn ông lo, việc gì phải vất vả làm chi cho mệt."
"women don't need to be educated, they just need to know how to cook, clean and be a good wife.","Phụ nữ không cần phải học cao làm gì, chỉ cần biết nấu ăn, dọn dẹp và làm vợ đảm đang là đủ rồi.",Women,Implicit HS,"Phụ nữ chỉ cần biết nấu ăn, dọn dẹp và làm vợ hiền chứ học hành làm gì cho tốn thời gian."
"women don't need to go to college, they just need to learn how to cook and be a good wife and mother.","Phụ nữ không cần học đại học làm gì, chỉ cần biết nấu ăn và làm vợ hiền mẹ đảm là đủ rồi.",Women,Implicit HS,"Phụ nữ chỉ cần biết nấu ăn và làm vợ, làm mẹ chứ học hành làm gì cho tốn thời gian."
"he was just trying to be a nice guy and help her out, but she took it the wrong way.",Anh ấy chỉ muốn làm người tốt giúp đỡ thôi mà cô ấy lại hiểu sai ý tốt của anh ấy.,Women,Non HS,"Anh ấy chỉ muốn tốt với cô ấy và giúp đỡ, nhưng cô ấy lại hiểu lầm ý của anh."
"women should not have the right to choose what to do with their own bodies, it is the man's right to choose for them.","Phụ nữ không nên tự quyết định về cơ thể của mình, việc đó nên để đàn ông quyết định thay.",Women,Implicit HS,"Phụ nữ chỉ nên biết nghe lời, việc quyết định nên để đàn ông lo."
the best way to get rid of a bad smell of asian food is to light a match and throw it in the trash can.,Cách tốt nhất để khử mùi thức ăn châu Á là bật lửa và ném vào thùng rác.,Ethnic/Racial Minorities,Implicit HS,Cách hay nhất để xử lý mùi khó chịu từ đồ ăn châu Á là đốt một que diêm rồi ném vào thùng rác cho nhanh.
you can tell a lot about a girl by the way she looks at you.,Nhìn cách một cô gái liếc mắt cũng đủ biết cô ta thuộc loại nào rồi.,Women,Implicit HS,"Nhìn ánh mắt của cô ấy là biết ngay cô ấy đang nghĩ gì, nhưng chắc chắn không phải điều tốt đẹp đâu."
"I_x0092_m not saying all immigrants are criminals, but we need to protect our communities.","Tôi không nói tất cả người nhập cư đều phạm tội, nhưng chúng ta cần bảo vệ cộng đồng của mình.",Ethnic/Racial Minorities,Implicit HS,"Không phải tất cả người nhập cư đều xấu, nhưng chắc chắn chúng ta cần bảo vệ ""cái nôi"" của mình thôi."
"we do not have to explain why, it is just a fact of life.","chẳng cần giải thích làm gì, đó là chuyện hiển nhiên trong cuộc sống thôi.",Ethnic/Racial Minorities,Implicit HS,"Thôi thì không cần giải thích làm gì, cuộc sống mà, ai cũng biết rồi."
you can always tell if a smart Asian guy.,Chỉ cần nhìn là biết ngay anh chàng châu Á nào thông minh.,Ethnic/Racial Minorities,Implicit HS,"Chỉ cần nhìn vào cách họ học, biết ngay không phải dạng vừa đâu."
"we do not have to explain why this is a bad thing, but we are sure you can figure it out.","không cần phải giải thích tại sao điều này không tốt, nhưng chắc bạn cũng tự hiểu được mà.",Ethnic/Racial Minorities,Implicit HS,"Chắc chắn bạn cũng tự hiểu tại sao điều này lại không hay ho gì, không cần phải giải thích đâu nhỉ?"
"we do not have to explain why we think this way, we just do.","Chúng ta không cần phải giải thích tại sao lại nghĩ như vậy, đơn giản là thế thôi.",Ethnic/Racial Minorities,Implicit HS,"Chả cần giải thích làm gì, cứ thấy thế là đủ rồi."
the best way to do this is to kill as many of them as possible.,Cách tốt nhất để giải quyết chuyện này là làm cho họ biến mất càng nhiều càng tốt.,Ethnic/Racial Minorities,Implicit HS,"Cách tốt nhất để giải quyết chuyện này là ""dọn dẹp"" cho nhanh, càng nhiều càng tốt."
"we do not have to explain why this is wrong, but we will anyway: it is wrong because it is child abuse.","Chúng ta không cần giải thích tại sao điều này sai, nhưng vẫn sẽ nói: nó sai vì đó là hành vi ngược đãi trẻ em.",Ethnic/Racial Minorities,Non HS,"Chúng ta không cần phải giải thích tại sao điều này sai, nhưng vẫn sẽ nói: đây là sai vì nó là hành vi bạo hành trẻ em."
the best way to do that is to make sure that we do not allow them to immigrate to the united states.,Cách tốt nhất để giải quyết vấn đề là đảm bảo họ không được nhập cư vào Việt Nam.,Ethnic/Racial Minorities,Implicit HS,Cách tốt nhất để bảo vệ đất nước là đừng để những người đó đặt chân vào Mỹ.
you can tell if a guy is straight or not by the way he looks at you.,"Chỉ cần nhìn cách một người đàn ông nhìn bạn là biết ngay anh ta có ""chuẩn men"" hay không.",Ethnic/Racial Minorities,Implicit HS,"Nhìn ánh mắt của mấy anh ấy là biết ngay ai thẳng ai cong, không cần phải hỏi."
the best way to tell if you are in a bad neighborhood is to look at the people.,Cách dễ nhất để biết khu vực nào không an toàn là nhìn vào người sống ở đó.,Ethnic/Racial Minorities,Implicit HS,Cách dễ nhất để biết bạn đang ở khu vực không an toàn là nhìn vào những người xung quanh.
Those people have a different culture; they_x0092_ll never fit in here.,"Những người đó có văn hóa khác biệt, chắc chắn họ không thể hòa nhập vào đây được đâu.",Ethnic/Racial Minorities,Implicit HS,"Những người đó có văn hóa khác biệt, chắc chắn sẽ không bao giờ hòa nhập được đâu."
the best way to get rid of a bad smell is to light a match and throw it in the trash can.,Cách tốt nhất để xử lý mùi hôi là bật lửa lên rồi ném vào thùng rác.,Ethnic/Racial Minorities,Implicit HS,"Chắc chắn là đốt đi thì mọi thứ sẽ sạch sẽ hơn, nhất là khi nói đến những thứ không nên có trong xã hội này."
"if you do not believe us, just look at how they are taking over our schools and colleges.","Nếu bạn không tin, cứ nhìn cách họ đang dần chiếm lĩnh các trường học và đại học của chúng ta thì rõ.",Ethnic/Racial Minorities,Implicit HS,"Nếu không tin, cứ nhìn cách họ đang chiếm lĩnh trường lớp của chúng ta đi."
